cmte_id,cand_id,cand_nm,recipient_nm,disb_amt,disb_dt,recipient_city,recipient_st,recipient_zip,disb_desc,memo_cd,memo_text,form_tp,file_num,tran_id,election_tp
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","GODADDY.COM",138.12,03-FEB-16,"SCOTTSDALE","AZ","85260","SUBSCRIPTIONS","X","","SB23","1056882","SB23UV3.4622","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","GRASSROOTS PARTNERS LLC",30.44,03-FEB-16,"PHOENIX","AZ","85012","SUBSCRIPTIONS","X","","SB23","1056882","SB23UV3.4624","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",220.1,07-OCT-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBCCUV45.9685","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",945.1,07-OCT-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBCCUV45.9686","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",29,07-OCT-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBCCUV45.9687","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",452.1,07-OCT-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBCCUV45.9786","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",183.6,07-OCT-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBCCUV45.9805","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",187.6,07-OCT-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBCCUV45.9806","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",191.1,07-OCT-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBCCUV45.9807","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",176.5,07-OCT-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBCCUV45.9826","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",312.6,07-OCT-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBCCUV45.9827","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",339.6,07-OCT-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBCCUV45.9828","",
